,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7799.31,12510.065399999998,16660.05,00101100011101100000100011110110101110111001011001011111101010101111000011100001
1,1,6388.61,10428.157299999999,12828.97,10001100011101100110100010100100001110011100011001001111101000111100110010100001
2,2,6276.5,8718.204300000001,10775.31,00000000001100100110100100100101001110001111010001000111001010101100011010101001
3,3,4743.44,7411.7632,9487.65,10001001111100100010110010101110010110111001110100110011100000000111010110110101
4,4,2969.8,6078.245599999995,8185.58,11101001111100000010100010000100000011111111010000010011010100101110010110000101
5,5,2793.87,5063.757600000001,6867.06,00010000001101000110100010111111000110111101010001000011000110101110010110010101
6,6,2070.42,4156.882,5954.67,01000001101101100010100010101100000010111111010000110011010100111100011110101001
7,7,1636.81,3285.177699999999,4744.34,01101001101100100110100010100110001010111111011000100011110100111110010010011100
8,8,1315.51,2724.609099999999,4245.27,10101001011101100110100000100100000010011111010000110011010100101110010010110000
9,9,937.24,2141.316,3658.87,11101001111101100110100000100100000010111111010001010011100100111110010010011100
10,10,763.86,1784.9122999999993,3108.36,00000001111101100110100010101110000110111111011001010011100110101110010010111001
11,11,478.38,1476.4188000000001,2658.29,10001001101101100110100010101110000010111101010000000011110100101110010010011000
12,12,427.16,1222.5918000000006,2200.43,10101011111101100110110010101110000110111111010001010011110100101110010010001011
13,13,261.81,1000.6402000000003,1892.92,10001001111101100110110010101110000010111111010000000011110100101110010010101000
14,14,261.81,838.9635000000001,1841.12,10001001111101100110110010101110000010111111010000000011110100101110010010101000
15,15,209.86,655.0549999999998,1603.09,00001001111101100110110010101110000010111111010000010011110100001110010010001111
16,16,192.07,527.9303000000001,1275.31,00001001111101100110110010101100000010111111010000010011110100001110010010010100
17,17,173.09,429.8789,1117.02,00001001111101100110110010100110000010111111010000010011110100101110010010001011
18,18,173.09,394.8108999999997,1025.45,00001001111101100110110010100110000010111111010000010011110100101110010010001011
19,19,153.26,468.10039999999987,1426.75,00001001111101100110110010100100000010111111010000010011110100001110010010001111
20,20,140.18,407.1386,1159.31,00001001111101100110110010100100000010111111010000010011110100101110010010001010
21,21,140.18,367.85960000000006,1221.36,00001001111101100110110010100100000010111111010000010011110100101110010010001010
22,22,138.13,398.733,1203.2,00001001111101100110110010100100000010111111010001010011110100101110010010001011
23,23,136.13,359.50669999999997,1128.15,00001001111101100110110010100100000010111111010001010011110100101110010010001010
24,24,136.13,415.43080000000003,1188.06,00001001111101100110110010100100000010111111010001010011110100101110010010001010
25,25,136.13,336.6747000000001,1160.31,00001001111101100110110010100100000010111111010001010011110100101110010010001010
26,26,136.13,318.87490000000014,1014.02,00001001111101100110110010100100000010111111010001010011110100101110010010001010
27,27,136.13,382.28430000000003,1106.87,00001001111101100110110010100100000010111111010001010011110100101110010010001010
28,28,136.13,345.89340000000027,1082.33,00001001111101100110110010100100000010111111010001010011110100101110010010001010
29,29,136.13,368.7949,1119.45,00001001111101100110110010100100000010111111010001010011110100101110010010001010
30,30,136.13,336.86610000000013,1101.65,00001001111101100110110010100100000010111111010001010011110100101110010010001010
